sample_id,text,polarity_original
fd727cec0a3249bf83889ba8c7593878,will be returning for a refund,negative
14af389f01d948e6987685804a154616,They are shaped differently for each ear and come with 3 different sizes of soft cushion covers for a custom fit.,negative
e056682587fe463b84863ee83ca02da0,Took some serious head shaking and still didn't fall out!,negative
60e8e3b352094736ace16a80c43f0a1e,Fits my Dslr with 100-400 lens.,positive
00732964a43744eda009b11c1656fe8c,Dislikes: None so far except a little pricey but all in all not really that bad.........,neutral
e2f45a68935e4b21a0a42e7c9cf33e40,"I'm sending it off for more repairs but I'm not holding my breath.<br /><br />And for the price, I paid $100 for the warranty which comes with a $75 deductible.",neutral
9ffe308bdc054684bfdbd627fca663d1,"I hadn't previously tried V-Moda headphones, instead I'd mainly relied on my trusty AKG and Bose over the ear headsets.",neutral
c6ec9769b28242a49a7f66fd7f805a24,"On the packing slip it states to email them or call with any concerns, however, they did not include any contact information.",negative
ab150038d9d94244ac7353222e56cae6,"Placement can be a little awkward as it obviously wasn't made for this, but using the two fabric covered foam blocks I can use their velcro bottoms to place the dividers anywhere I want inside the case.",neutral
392ecbd827df4f9cb680a0f75ca0c9ed,"For my home office & home streaming/voip/web needs the Actiontec is a tad unsatisfactory but just as good as this one, at less than half the price.",neutral
bb1a6ac463864e8292d4b79eef81e761,works great has a beautiful picture doesn't over heat with plenty of options for audio and video price and quality excellent use it a lot,positive
6187a55ca7c545499563cffd979a5ec2,But it's an alright kindle.,neutral
e48843289e7c4abf8d0f1908f30ce51f,Manga Studio is stable and tablet friendly!,positive
fa1e1bc34c9d42578ef5321cd13be7bf,I am considering purchasing another for my nephew depending on how that first report card looks because it is that great of a deal!,positive
7b7520d8363148b5b05a9e9ec49779a7,iffy battery life - kinda slow.,negative
2b7719c5846a4dd1989b4f7263ca0cdd,This works great and is super fast with the data transfers.,positive
02f17c61cc474df88db274579a7e191f,I had not had it long before it just died one day.,negative
6d4455263aae45678102a02f0ab3b53c,"Thankfully,  it was very easy to install.",positive
c19978ff682b46edbc7c72b0e315ac91,I love that each side slants your device for different viewing angles.,positive
3dfbd9ac272a47358c96bed41495b084,I am considering junking this machine - literally.,negative
94113621113d42d88e02d982a0b2eba5,"This one is decent looking, and the usb ports work well.",positive
4276504dadc3443e912c1d13da4a9cf6,Using the touch screen to perform various functions is speedy and less error-prone than I felt on the Touch.,positive
8b611475a0284c6db89bf608a386e787,After a month of using it my wife really likes it.,positive
9785caf2a4e84771b9bd3bebf9b46b3c,The inside is very soft and the outside is easy to clean.,positive
ff9dc57fd72a4fdca5a956d4606d41c6,"Even sitting right next to it, my xfinity still had faster download speed than this.",neutral
bd42bffc9baa4c6db8a953a859c646a4,"Lasted for one week then, no matter what we tried, the iPhone app could not recognize the camera.",negative
19602c497ba04d56ba05b4b0fb262e3b,"I love the slim design, I hate the chunky ones.",neutral
93ab275952fd4787b1d96d3f3360f60d,I’m doing this for a free arm band,neutral
e6ad7ceb4f8b4c6aab8397f403389da0,It is overly touch sensitive.,negative
6f7622795fb84258a90d2a6bddd56adf,"They're easier to find now, and the boxes are attractive enough that I can stack them on the shelves.<br /><br />The only problem I have is that while there's a small holder for a label, no blank labels are included.",negative
d9b8528ddc7f4cd8a970c0e15fd3bfb5,"If you love beadweaving, you'll enjoy this book.",positive
ba247e256ad8423cafb3cba918bad2f2,I'm not an audiophile.,negative
9b18ccd2d29b44eaaccd3452ee9d0311,Arrived damaged - not worth the effort to return,negative
237f7a899da84b27ac8677d66b9ab071,"The 1 terabyte hard drive has a handful of gigs, maybe 30-50, and yet it had no problem loading this page.<br /><br />So yeah.",neutral
b0191393a26e419495616083c032a27a,"However, it is extremely prone to bubbling.",negative
d02ad0decc3e4b28b8fc205d82336a83,I won't go near another Razor product again.,negative
d676c80db5214685ad57544db8a9a490,I was about to return this back to Amazon because when I got it during 2017 Black Friday it did not cool my cpu.,negative
48613807bec645528403ebfb599a9714,These are a steal at this price.Works excellent.,positive
2bf5a631ac8d4af88892d910ddfc2349,"Great design concept, but hardware is not the best and does not close well if filled with discs.",negative
263ff0b77e674a4f848a2927de1986c8,There are a lot of options here.,neutral
51a4c05cc6e240fd9e885b270e022a15,"The audio quality is really, really bad, which is surprising because the original Echo is pretty good.",negative
c590cc04bbf64d60b79b9bb5b848e9b4,"I listen to talk and certain talkers I have a problem understanding on my other radios, Not his Sangean PR-D7.",neutral
1d86b618e9104e0caadf5de8b330cb2b,The problem is that the C port didn't even fit into the C port on my phone--even though I took the case off my phone.,negative
116ebcd0d36d4e4a9b19a31b7bce1433,"This wouldn't be an issue if the touchpad could replace my mouse, but it really can't.",negative
0b37cc91312140db8a18ea8fe59726f0,"Battery life is decent and it works perfectly although the limitation of the dot continue — sound is good but not great but for a portable dot, that isn’t a deal breaker.",neutral
80d0856570364789bb0344e154e79884,I purchased these for my parents house because their WiFi was terrible in certain parts of the house especially where they spend a lot of their time.,neutral
807f188e7f0140cda22c97d4061425b0,"And even today, I cannot be sure if this added snappy-ness is from the extra 2 cores I have now, or the 3200 MHz ram I have now.",neutral
ea261df4d3f043c18157b1969428f344,If you need to keep track of multiple remotes like I do.,neutral
81c9919ce2a742a295c8cdfb4556aa65,"And yes, there can be some fit issues with many cars, so my macaroni necklace of a project doesn't look perfect.",negative
55ea9c9e25c04f61babbfd84c7fc5a52,"Only issue is that it does not attach firmly, but it is good enough for my needs.",neutral
e77739e0fd1b49cfb4e2b21df5d0cbeb,This works but I can barely hear the audio even though both my phone and car volumn are turned up high.,negative
b38d503f6fc6477aa050c97a2eac6730,"It's easy to use, right from the start, and takes great pictures.",positive
f28461f3ce80451889ed623f9b8afcf6,"I had one with a very short cord before, so got the 10’ one and it is great for my use.",positive
d87d05cfb15d48dabb7a36f9a21dbb72,The screen freezes and blurs.,negative
be0623cc581c422fb7967bb0f0bb1ac4,Is it too much to ask these days that things work for more than a year?,negative
360bcfe5f834412a9bb5dfaca43363b0,I will order another one and see if the next one does it too.,neutral
b941ff5093c84e9ca6d85dd5976b7e4b,6ish months in and the card is already dead.,negative
f62ab54e022b47ca8949f799f1d97494,"Disconnecting everything, repacking everything, and taking it all down to UPS for return would be a tolerable inconvenience except for this:<br /><br />Harmon Audio/JBL requires that the customer get a return authorization from them before returning defective merchandise.",negative
579938757a3a45eba5a85d64ef4ab4a4,The camera Ethernet cables connect to the base station easily and show up in the client software.<br /><br />I was using a PC with Windows 10.,positive
2a0a9782a6d94870814de6a42a65db31,The screw is supposed to be securely seated in the wheel but it wasn't seated properly in the product I received and it came apart.,negative
9ae902406a9542fd8b2fb32c1e36ce31,Excellent product; thick enough that it does not get tangled.<br />Superior quality; would definitely purchase again.,positive
aaf7a0ee2aac4e06a67bc4e8414e7ccc,"This laptop's screen is also very bright and clear, brighter than that of my Sony Vaio.<br /><br />Another very interesting feature of this laptop is the keyboard.",positive
1f36b6845eaa4bd18a1173b53597ec05,100 ft cat 7 for $22 bucks seems like a great deal.,positive
89ca593824444bdebcd06cad086ced21,I drilled a hole in this crappy drive and tossed it in the trash.,negative
5010a635707c417e83295ea4283241a8,This little device sorted out that problem for me.,neutral
45eff13304ce49e4b0483c3c7ef221d8,A rip off plus it arrived much later than it should: don’t even want to give it one whole star,negative
6299a64d35974a93bb95838aaae43502,"Timing didn't hurt either, my tablet wouldn't let me upgrade my firmware so I could upgrade my OS version locking me into an old version in which all my apps were failing and I was considering tossing the tablet.  $6.?? something later and my tablet is running better than ever, I LOVE IT!",neutral
2973329ab1ba4cbfbc20bbb781bfc3be,"I bought it for $19 but I wouldn't pay any more for it than that, I see it's double the price now so that's a shame because it's a great addition for your morning routine or cleaning the bathroom<br /><br />SIde note** This Speaker is meant for bathroom use.",neutral
4517eaec09db4bff92bc8964230486e8,"It’s great because you can listen to the radio, movies and the sound is ok for what it is.",positive
9039175ccea44e519f293edc68d1ce2e,"If so, then they may be worth it.",neutral
2137f93d57f54a92a354a40f1d60b0ac,USB 3.0 rather slow writing (USB A port on PC).,negative
92038aa51a0f40b688dd14a081dd67cf,I was able to contact Acer and they did resolve the issue within a reasonable amount of time.,positive
2a8255c5f1784961bfe53e5f619c739a,Best item ever made because I hate typing on my PlayStation.,positive
d80f045a97984084864d23235559cba6,This is a bad ass center channel bose  Has nothing on this baby.,negative
a7658e2d89d542ddb86b5d2c9b94646a,"You'll recharge your Kindle faster and you won't need to be tethered to a computer to do it.<br /><br />If you are like me, you probably hate cabling to a laptop or desktop computer if you have some alternative.",neutral
083b5fe8a2954941825b2dc9307098ed,Love this print and the iPad Pro cover:),positive
8dccaaae21be48f697513ca5ff8ef3a0,This totally fits the bill!,positive
f758ad67a30440aeaabbe460fd671134,"Their support team tells me they'll ship it whenever they feel like it.<br /><br />Beyond this problem of a bad connection and poor support, I have issues with the actual device when I can get it working by playing with the video cable.",negative
e5b535ceb9a14c59a87dd59f5e3baf01,The light cover feels like it could be easily broken.,negative
64bc82c6236148018d9b2324493bac38,Better than any other Anker cord.,neutral
5244dbb8666f4e10848b9ab35521ec5a,"Great value, works well, and so easy to use.",positive
077af3a63d27483c92f3c6a48b9e5559,"I particularly like the thick ear cups that keep the ear buds in my ears very well.I had bought many sets of ear buds and always has the problem of ear buds fell off out of my ears, until this new set.",positive
41b661b4768b45338babece6857e3241,Perfect for a laptop or device.,positive
defe6da3408942308e40b4891814efa9,Too bad my phone is so small.,negative
d1289628dd1a471abefd70a08696402d,This LTI is the perfect solution for us to run it in-line with one of our XLR channels.,positive
afbb1302d1fc488c802901ca5c2a8adb,"I wanted removable speakers, good sound at all volumes and a sleek look.",positive
a426776c0907498eac80fe26f503bbc8,Very cute and a great product for the price.,positive
ac57e66c5fbc4aa29cc36be990e602c1,I had to pay to ship it back and the process is kind of slow so I did not wish to wait.,negative
2dfd2ced27b84b5da0dde014e17d0a6e,"By the way this is the second time I bought this product, because is awesome in range and sound quality.",positive
d3d0b68dd01f4d6e892f8ec3e312add9,Other people with bad reviews weren't using it as intended,neutral
9449f0ab67064786b5090e8be32a57fc,The speakers synced up to the device lag behind the TV by a few syllables makes things kinda annoying.<br /><br />Quick update it seems to hijack anything Bluetooth by just screaming into the either.,negative
01c725a9b09d42ab81c7d8101d5c3c04,There is one room in particular that currently needs a low profile cable to run around the base board on the walls just based on the position of the Ethernet port in the wall.,neutral
177bc93a19d2485eb598f1ae04aa34ae,However it did take me awhile to reach this state.,neutral
729d7b9661384523b25468bec1bcaae8,"It's not in the way, but it's easy to access.",positive
49016492c812414385fbf2bac579abac,I hate the Fire TV now.,negative
54e50cac23a04e1f9e3106fbd1a31ed3,"I really had high hopes for this one, but it just turned out to be just another Microsoft mouse.",neutral
cb5116bd64ce4ce08ed9083d3bb22cf5,"A little tricky to install, but not awful.",neutral
aca93f08a9724634914ea1bb81637700,I would equate the listening experience to being in a hotel room and the room 4 doors down is playing music through bad speakers.,negative
f6249c4b3e714dff90d8b711e872b83d,I have been using it for approximately a month now and I have zero complaints.,positive
61278f0e197d4dbfa5312c1ac7c1d682,Haven't had a bad one in batch.,neutral
4e00ebfb1baf48108dc066c8a65bc5db,The remote is really cool.,positive
b6cc0a90671844f7a0def8faca3697b7,"These are not the best earbuds that I own, but the sound pretty quality is good, making this a really great value at $8.",positive
d23e83787b7f4f5d9f196a01a2065c68,I have nothing bad to say about these.,neutral
25870442027c478ba11559b0dc7096fa,"I don't use it for ordering, tho you can...",neutral
7111f624c2be458e8139a30d43833997,I have to tell iphone to switch call audio to phone and then back to the earbuds to get them working again.,negative
c9a6c064c9e047d1843a18d8ed23eab2,Instruments sound like they should.,neutral
c9addb6272944f8ab41784ec11902a73,"For the price, this is a great TV.",positive
630e522f8c4d4ab783738ac4a36a81d9,So it’s a great case!!!!,positive
56d833cf50ea4a40ad827c99760d4fe1,"Only complaint is that the speaker makes a slight chirp before playing audio but that doesn't appear to be a defect from the model, it seems to be a driver issue.",negative
4b1b2cc95a8e4e418205adb4926c9a82,This thing worked ok for a bit but quality control is definitely an issue.,negative
30c57dc4b11c47b190ac638cd1fff7a7,I should return it earlier.,neutral
2704ee858e374b0e9cecd068f22c3650,Got her these not to load and she can’t tell the difference.,negative
05cb77adf8624d0da89b921e0103955e,The tablet arrived with no charge on battery..,negative
c2b3f7f9d57e4cf38a831746a930b7a8,One problem is that it is not very easy to see in the dark.<br /><br />Acts as a radio: the reception was quite good; I had no trouble with local stations.,neutral
72c9f5e6b4f5469bad2c4ecc0cda677c,My grandson picked it out and I purchased it.,neutral
a22f3c87a4aa4afebaa651e1478203d3,"Performs great as my replacement for my aging DROBO, and the extra apps are a great plus.",positive
4e4ea3dd1be1430993ef1e281a0bfdad,Love how small they are.,positive
87f6976255c54c25a20667d5f254ba7e,"So even though I can spend long hours in an online MMORPG, I'm actually a casual gamer.",neutral
b230023a4d0548b6af4501ae40f7bf2c,"I'm not even using the ones I have, after I got a pretty painful shock in my ears when I came indoors from the cold. (The ear buds that came with my headphones shock me, too, sometimes, but not as bad as these did.) I wasted my money. &#60;Sigh.&#62;",negative
b2cf01c4186c463e99203e6dc5d1474d,"Now, I can connect to Wi-Fi all over my house and even slightly further.<br />I had some difficulty the first time getting it connected to my Wi-Fi, but once it did, it now works great.",positive
b2e86142a2b748df8f3599ade3d0ac53,If you're getting into it now and don't know 100% what this does.,neutral
5fde170ae48d49c6ab8d6fca4566dbe7,"We were a bit worried as out takes s moment for it to kick in, and a few times we've had to turn off the tv and bluray player to reset everything to make it work, but overall really great product!",positive
a9fd7ae15f5a4bef8917376bc7feac96,I used the video on YouTube which made the install so simple.,positive
c86c80086ecf4648ab005bcafa7affaa,2TB for this price is definitely one of the best deals I’ve seen!,positive
9835d2d6c59d48e2a2f63e76590a4435,Great little alarm clock for the price.,positive
ef4563a7fe664d20a81efee7dc6e6c19,I decided to return my printer and buy a wireless instead of using another cable across my place.,negative
b3b689217a7944b4ad4032ee043ef8e0,I was blown away by just how awesome it was when watching 4k videos through it.,positive
2c6afdf22e394becb57f28f482b63ad1,Great speaker and super easy to set up.,positive
0d828ab8273c4e9b866c8f583a9e4042,Now we are not getting any of those calls.,neutral
7b4e42e0216d45d989f73c8a54f1abd6,"This is well made, has a battery tester included and the price was good what’s not to love?",positive
43c932b3f30b4a8c89a198acd5d8f941,Would not purchased a device without protection.,neutral
4a8f1547e09b477ebf6425bd721c4eb1,"However, throwing the product away is crazy, because it's bad for the environment - even if disposed of properly.",neutral
67163d124d9f47fead8f26bf09920803,This is excellent for Zoom meetings.,positive
35f86d01419947be8e229cd1beedfb59,The strap is also meaty and tight; I would trust the combination of the strap and cushioned roof with most electronics.<br />There is an abundance of plastic pages for memory cards; they seem to fit up to normal SD size.,neutral
b151cd52564e4d818186d8bd094ff3f8,"The only reason didn't return it because my daughter wanted it as a purse (which is what it is, not a messenger bag).",neutral
d54c7084ec4246be89495f2481b903ff,"It's not bad compared to some other I've used, but it's not super smooth like some I've used as well.",neutral
ab2353ae4b624e57a1648cf58d267315,The only issue is that the volume buttons don't like up exactly right.,negative
5576a468ccb94189a0095c6350a8fada,"Not sure how well they would work with bulbs, but they are great with the LED lights I use.",positive
10e19e10effe4309b03f459dacce0690,Dislike it moves to slow then sometimes don’t work,negative
8010e84503be4d4a91268d7387759c7d,"I’d also suggest being very careful when removing them as well - the Apple tips are surprisingly resilient (seemingly indestructible, despite the impression that the silicone is easily tearable.",neutral
5a75d2eaf5da4c1fa25d296c084a57e2,I don't think ASUS builds these for longevity.,negative
654670417993408fb1c627b85baff5e2,Love the looks and the color though.,positive
db2e82539f434e21abd7bde39269354f,In fact I'm going to check right now.,neutral
2543ef936041459ea42148be8a4d2e56,One has a Velcro strap that goes across it with a picture of a laptop so as you probably guessed this would be the perfect place to store a smaller sized laptop.,positive
0895da2f68354c0e8c191bc8aa49d37e,Battery life was average at best.,neutral
2c98682e71394a0c9f55bb09780a612e,But the functions are amazing.,positive
86a4af5bcb05478ba98d6fc34c340833,Watch the install video first before beginning.,neutral
192d5533c3564989886b8b71b3274fea,I can say that I am more than happy with the product and will update the review once more time has passed.,positive
076f45b3ad134730ae8d01aa94aeb273,These are really nice for what they are designed for.,positive
1842d833f1734c48bb66ff5a3beea2f2,"If I was to due my main sound system over I would go with one of the Bose systems less clutter, simple and a great sound.",positive
e841e8cc20cd43ca968195fd03d096e4,As soon as I put my phone in my pocket and tried to listen to music it started cutting out so bad that I just turned it off.,negative
e62d952eaa2f4b45a1139161e4ec3f9b,Once paired the light will turn blue and on my phone Bluetooth preferences it shows up as C300-XT.,neutral
41ecfcb842ac4d7bb2fc15ef43d6700b,"I then slid the mouse button into the on position and everything worked.<br /><br />After using this for a while, I hate this set, particularly the mouse.",negative
22d9ce60705c4bafa96caf73658f5ea0,"I'd had Meade telescopes before and because of the name, I went with the Polaris 130.<br /><br />Wow!!!",positive
8c977c23b64649298379f954ecc9eb8a,The workmanship on it is good.,positive
8cd6514d5e0045a68214644d9b2d236b,I purchased this item because it was recommended by a friend.,neutral
a2b2b46498b6444ebee76bbbd855f2a4,"Good product, cumbersome and slow menus",neutral
1a71ee2e28444ae9b1201be76e9018d7,Doesn't take up to much spaces.,neutral
cde688219dda41b389309411575625f2,I may decide to return it.,neutral
720728b47e144c9191f7c4ee4575663d,"It works fine for CDs, but I don't think it ever worked right to burn DVDs, particularly bad on DL DVDs, even Memorex brand.",neutral
3f7b1a7bb0cf42e59a22e74655fc6d1c,Are others having this problem?,negative
9f3b0ec33b414286aca6667ce860d7fb,I use this to play books on CD's and music.,neutral
4adb2b371b8343e192e320de138e82f0,"Set up the camera, download the app.",neutral
98c41a763b414c81a919e761ba305376,"I purchased these to use in a server room for cable management, specifically for managing UPS power cables.",neutral
64a790f2038041459064ca8ae65ede0e,"Worked fine for a few months, now about 6 months later I have to jiggle it a lot for my computer to see my phone.",neutral
40e88857a22b493aae3618c5f25e38ef,"Rename the file: replace ""current"" with any word you want, as long as it's not ""current"") so that it is names ""anyword.gpx""<br />d.",neutral
7a1223acf741421099400d130f4a0e72,"This is going to sound weird,  but he had a really bad infection in his ear canal that wouldn't go away.",negative
5533961f2dfb4b7e94c4256ba7ef97ac,I really had high hopes for this but I immediately came upon an issue.,negative
44ed6be2d5134174a7656480f0a1da8d,"My problem lies with those product manufacturers that insist on using gigantic plugs that take up at least two outlets, even with this roomy power strip.",negative
efe4dc5755af489ea29975d55ef2f4fe,BUT I had to return it.,negative
238d21128cc24785adc893e2794eeae5,It is extremely slow.,negative
a28ffdaa49fa4bc09c1128e46d595a93,To me they sound great.,positive
f1b107a9c81342ebbfe1d04f1b5152b0,"I've never had a problem with them falling out.<br /><br />Sound quality is pretty good out-of-the-box (clear and loud), but a little thin at the higher frequencies (especially noticeable with acoustic music).",positive
a317020e6b9b44a4b197aa0c7540aa56,In general this is a very good wrist strap for those of us who hate shoulder straps.,positive
50fe36734e7b458694c75b94cf1a1eb6,Save yourself some money and a lot of frustration!,negative
708ac0cdaec2470781afbceec37098e5,The stream quality if fantastic.,positive
427221a6551345e9ac3b5be94284eada,It fit perfect and instructions were easy .,positive
daa1096754694dd3931113769bee5bb3,"I’ve had no issue with them unpairing, sound delay, echoing or distortion.<br /><br />These speakers have proven to be an excellent addition to our pool environment and a definite hit during parties.",positive
a0c9db3a97344a54af314a2c8e58a466,Now the left one won't connect.,negative
d0312d5c1eab4becb0d13db5168f7b9b,"These switches aren't the best, although I don't know what the best feels like.",negative
c933377d47f043ad8d48306d22db380f,"Most of the time this doesn't mean anything, but like all fanless computer designs it is extremely possible the unit will need to slow itself down to prevent overheating if used for extended periods of time.",neutral
aa2363b1464a43ac823cfbf32ecd17ba,It looks great on my shelf with the small Kolo albums inside.,positive
cf514235c1d5405d8c0ce2931444391e,It doesn't usually sear well.,negative
b56845ff2e6e435caa0bb090afde5ef0,"It’s not quite a plug-and-play operation, but pretty close.<br /><br />The enclosure is metal and feels pretty solid.",neutral
5a19786e581844d8b06e7b3e250085e5,"It does what it says, holds up my laptop great and all, but it's pretty difficult to adjust and get each side even.",neutral
8218fdce9450451f91f63aebe917b7a5,"This earbud is good enough for my purposes so far, but it is probably the worst quality wireless earbud that I own.",negative
78078e874bf24e0c87a19fb02711718b,The seagate 4 tb that I took out of its usb 3.0 external case is really slow but I'm pretty sure thats just that drive.,negative
8911493d77a64840bf639bb2943b56ee,I upgraded from a charge 3 to this charge 5 and it was so worth it,positive
7fdd6c632d78425fb8ce365de797dc12,My friends love the color and I like the color options as well.,positive
5509e60b4d534d039867b1bbec4a6258,"Price is right, too!",positive
5de4c83d1a8140a5ab1125047362ab24,"As soon as I would pick up the cordless phone, online access would be gone.",negative
92433f2673e347369aaca1b049bcc76b,I hope you always win.,neutral
7b7bd61f99f845259fef55d6c7f0d6a4,Other drives like this have 119 GB of usable space.,neutral
0eb19bfc3bc94daea091e6fdddeb054a,"This product produces stable 5V power, but the high-frequency noise it makes is so loud that if I spend more than five minutes in the same room with it I start to get headaches.",negative
78a5713271534dd4b58acd65d6a3fbda,"My main issue with my other cables was the fact that the locking clips always tend to break off, which constantly leads to connectivity issues.",negative
6c26811bd54f4228b0c799a804a75997,"Overall, highly recommended!",positive
86f4406fca7e4956b34d5e29ebd5a730,"I have used SanDisk memory cards for years and can recall only one of them going bad, that was several years ago.",neutral
f9033b84aa6a43e48e2a018394524235,When you select the radio mode it beeps loudly once again and then plays the station.,neutral
a50532251b3b4c63b55cbe7702e7eb41,"It definitely improves the viewing experience.<br /><br />Some things to be aware of - This unit plays from other bluetooth devices, but only has the subwoofer out bluetooth.",positive
490abfb4247246528a23f091dd1b5bd3,"So far I like this player more than my old Sony, which I have grown frustrated with over the years.",positive
aec4a0555edb4542aae3ffe770ad77a7,I can’t return it and the irk of trying to get the warranty is too much.,negative
de242ef979aa4b428c6fc9ca9cb90e73,I then ran a speed test and the connection speed was close to 700mbs (compared to 400+ on WiFi).,neutral
4f037ef8cce6491ca83a936f73663630,"Strong enough to keep the adapter and tip connected to each other, but if I pull on the cable or drop my laptop, it’s like MagSafe and reduces my chance of damage.<br /><br />I have a few of these adapters and so far, none have been compatible with each other.",negative
246c1bcc61234945bcf0db2d712a0e6a,I had no problem fitting my laptop as well as multiple books and my portfolio and had room to spare.<br /><br />This is an all around awesome backpack for anyone.,positive
db040f4fb9c24cda8278c0c075c28a72,Amazon has emailed that  they have received my return and I should receive refund confirmation in 2 business days.,neutral
81a252190372488c96e090be93e2ae77,Conditioned the battery by completely discharging then charging.,neutral
